,type,direction,price,size,timestamp,stop_loss,pnl,reason
307,exit,,61410.98,,2024-03-05 16:00:00,,-1012.5910119492743,tp_ema10
308,entry,long,67301.31,0.2084553295913234,2024-03-06 08:00:00,63263.21,,
309,exit,,65847.29,,2024-03-07 00:00:00,,-303.0982183323769,tp_ema10
310,entry,long,69136.79,1.0627577014304261,2024-03-10 00:00:00,68193.51,,
311,exit,,68604.42,,2024-03-11 00:00:00,,-565.780317510511,tp_ema10
312,entry,long,71019.99,0.20613537749904812,2024-03-11 04:00:00,67024.96,,
313,exit,,71349.99,,2024-03-12 16:00:00,,68.02467457468587,tp_ema10
314,entry,long,72855.16,0.5420675725834262,2024-03-13 04:00:00,71333.31,,
315,exit,,70844.01,,2024-03-14 12:00:00,,-1090.1791986011624,stop_loss
316,entry,short,68224.01,0.1911604195165202,2024-03-15 00:00:00,72419.71,,
317,exit,,67965.5,,2024-03-17 12:00:00,,49.41688004921464,tp_ema10
318,entry,short,65876.01,0.35723033968528856,2024-03-19 00:00:00,68124.11,,
319,exit,,65784.46,,2024-03-20 16:00:00,,32.70443759818401,tp_ema10
320,entry,short,65223.74,0.3905207517038498,2024-03-21 16:00:00,67693.6,,
321,exit,,65981.99,,2024-03-22 00:00:00,,-296.112359979447,tp_ema10
322,entry,short,64233.9,0.39618397510133374,2024-03-22 08:00:00,66649.62,,
323,exit,,64575.41,,2024-03-23 04:00:00,,-135.3007893368573,tp_ema10
324,entry,short,63990.01,0.4746962266813193,2024-03-23 20:00:00,65999.0,,
325,exit,,64583.43,,2024-03-24 04:00:00,,-281.69423483722767,tp_ema10
326,entry,long,67209.99,0.3626699352955209,2024-03-24 20:00:00,64600.01,,
327,exit,,68874.0,,2024-03-27 12:00:00,,603.4863990310978,tp_ema10
328,entry,long,70399.03,0.6431474545296515,2024-03-28 04:00:00,68903.62,,
329,exit,,69794.0,,2024-03-29 04:00:00,,-389.1235044140743,tp_ema10
330,entry,long,70301.73,1.073859118980703,2024-03-31 04:00:00,69562.99,,
331,exit,,69594.94,,2024-04-01 04:00:00,,-758.9928867043642,tp_ema10
332,entry,short,68237.15,0.4218269717746972,2024-04-01 12:00:00,70080.0,,
333,exit,,66353.67,,2024-04-04 08:00:00,,794.5026647982049,tp_ema10
334,entry,short,66930.74,0.43487340199009183,2024-04-05 04:00:00,68756.67,,
335,exit,,68190.62,,2024-04-05 12:00:00,,-547.8883016992726,tp_ema10
336,entry,long,68896.0,0.8261903740195342,2024-04-06 20:00:00,67948.83,,
